,Country Name,Country Code,TotElecGen_2015,RenewElecGen_2015,NotRenewShare_2015,PolStab_2015,ContCorrup_2015,RegQual_2015,RuleofLaw_2015,GDP2010base_2015,GDPPerCapita_2015,GovEffec_2015
120,Moldova,MDA,6091.0,327.0,94.63142341159087,-0.32744017243385315,-0.9112522602081299,-0.06629305332899094,-0.35344722867012024,8372415480.26162,2732.45711293733,-0.6547016501426697
121,Monaco,MCO,,0.0,100.0,0.9918018579483032,,,,7149376905.74042,166011.50913116,
122,Mongolia,MNG,5513.0,170.0,96.91637946671504,0.7163843512535095,-0.4916258454322815,-0.3505108654499054,-0.3797925114631653,11680159346.4038,3918.57917389553,-0.4187603294849396
123,Montenegro,MNE,3003.0,1491.0,50.3496503496503,0.1407977193593979,-0.13181081414222717,0.22679321467876434,0.05177191272377968,4533336476.84273,6514.56918801822,0.1556193083524704
124,Morocco,MAR,30820.0,4410.0,85.6911096690461,-0.34148743748664856,-0.220340758562088,-0.17074477672576904,-0.08894515782594681,113383503344.942,2875.25798516781,-0.062049999833106995
125,Mozambique,MOZ,19913.0,17207.0,13.589112639983895,-0.5138950943946838,-0.7488588690757751,-0.5003937482833862,-0.8487962484359741,15685715579.3854,589.859028149831,-0.7463036179542542
126,Myanmar,MMR,15970.0,9399.0,41.1458985597996,-1.1650667190551758,-0.8361851572990417,-1.2224674224853516,-1.2365394830703735,70339509334.1836,1287.43048657119,-1.2385954856872559
127,Namibia,NAM,1536.0,1502.0,2.2135416666667,0.7331128120422363,0.3193384110927582,-0.08977989852428436,0.19035480916500092,14525451083.8051,4869.37837276379,0.24818462133407593
128,Nepal,NPL,3503.0,3503.0,0.0,-0.9983345866203308,-0.5780478715896606,-0.7995814681053162,-0.6768321990966797,19774984746.8631,792.552890593381,-1.0536470413208008
129,Netherlands,NLD,110070.0,13695.0,87.5579176887435,0.926119327545166,1.8842970132827759,1.7990309000015259,1.9441921710968018,878700512077.547,45175.2318933798,1.8325068950653076
130,New Zealand,NZL,44205.0,35400.0,19.9185612487275,1.5254533290863037,2.2756311893463135,1.920747995376587,2.0013928413391113,169087041816.454,38501.221215622,1.8843755722045898
131,Nicaragua,NIC,4579.0,2292.0,49.9454029264031,-0.08660753816366196,-0.8882873058319092,-0.3944113254547119,-0.7361088991165161,11425935366.5334,2049.84968976149,-0.8159055113792419
132,Niger,NER,531.0,4.0,99.24670433145009,-1.0665462017059326,-0.6542466878890991,-0.7289673089981079,-0.5707142353057861,10415988207.3199,484.238632609296,-0.654619574546814
133,Nigeria,NGA,31426.0,5718.0,81.8048749443136,-1.9254428148269653,-1.0793873071670532,-0.850521445274353,-0.9616227746009827,461850352958.58,2687.48014545225,-0.9588075876235962
134,Norway,NOR,143922.0,140626.0,2.2901293756339953,1.161716103553772,2.2428038120269775,1.6068711280822754,2.0111470222473145,467126944887.83,74355.5158575643,1.8644993305206299
135,Oman,OMN,32758.0,0.0,100.0,0.78333979845047,0.26891422271728516,0.5745102763175964,0.37688618898391724,71085886877.0426,16028.6115221739,0.0814257562160492
136,Pakistan,PAK,110861.0,34844.0,68.5696502827866,-2.482707977294922,-0.8107558488845825,-0.6270130276679993,-0.7666656374931335,215639252600.659,1356.66775582649,-0.6675182580947876
137,Palau,PLW,94.85,0.0,100.0,0.9194737672805786,-0.5246900916099548,-0.8063775300979614,0.24466881155967712,222735951.756269,15876.4619303708,-0.5363368391990662
138,Panama,PAN,10296.0,6726.0,34.6736596736597,0.38607725501060486,-0.37073230743408203,0.35253670811653137,-0.10635321587324142,42724375045.4799,13630.3079737945,0.2921956181526184
139,Papua New Guinea,PNG,4176.0,1442.0,65.4693486590038,-0.42214831709861755,-0.9398027658462524,-0.5526033639907837,-0.8692891001701355,18946293629.2374,2679.34558891149,-0.6065411567687988
140,Paraguay,PRY,55744.0,55743.0,0.0017939150401957704,0.03849802166223526,-0.9470149278640747,-0.2709210216999054,-0.6915741562843323,33070442062.4899,5406.70385708338,-0.9483866691589355
141,Peru,PER,48251.0,25443.0,47.2694866427639,-0.3975714147090912,-0.5338407754898071,0.4913470447063446,-0.4854592978954315,186304991062.124,6229.10169612596,-0.2769882380962372
142,Philippines,PHL,82413.0,20944.0,74.5865336779392,-0.85566246509552,-0.45347070693969727,-0.04308318719267845,-0.3429003953933716,279298784317.645,3001.04037107616,0.11224309355020523
143,Poland,POL,164341.0,22683.0,86.1976013289441,0.8748523592948914,0.6695214509963989,1.0001376867294312,0.8020585179328918,555014724902.995,12578.4954734362,0.7987829446792603
144,Portugal,PRT,51281.0,24372.0,52.473625709327,0.9178401231765747,0.9647249579429626,0.9568518400192261,1.146594762802124,228064215301.046,19242.3664710981,1.2203410863876343
145,Puerto Rico,PRI,21159.8,388.8,98.16255352129981,0.8551207780838013,0.08614844083786011,0.9857845902442932,0.7475715279579163,95579081232.298,29763.4883013861,0.3586575388908386
146,Qatar,QAT,41499.0,0.0,100.0,0.9966303706169128,0.8914763927459717,0.6785885691642761,0.770516037940979,173039309518.167,63039.063486422,0.9549182057380676
